iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,tests_per_case
ITA,Europe,Italy,01/01/2021,2129376,22210,74621,462,2553,25375,157524,26756131,8.4
ITA,Europe,Italy,02/01/2021,2141201,11825,74985,364,2569,25517,67174,26823305,8.2
ITA,Europe,Italy,03/01/2021,2155446,14245,75332,347,2583,25658,102974,26926279,8.2
ITA,Europe,Italy,04/01/2021,2166244,10798,75680,348,2579,25896,77993,27004272,8.1
ITA,Europe,Italy,05/01/2021,2181619,15375,76329,649,2569,25964,135106,27139378,7.8
ITA,Europe,Italy,06/01/2021,2201945,20326,76877,548,2571,25745,178596,27317974,7.7
ITA,Europe,Italy,07/01/2021,2220361,18416,77291,414,2587,25878,121275,27439249,7.4
