location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,new_tests_per_thousand,new_tests_smoothed,tests_per_case
Italy,26/10/2020,542789,17007,37479,141,1284,14281,124686,14778688,2.062,162749,9.6
Italy,27/10/2020,564778,21989,37700,221,1411,15366,174398,14953086,2.884,166986,9
Italy,28/10/2020,589766,24988,37905,205,1536,16517,198952,15152038,3.291,170001,8.5
Italy,29/10/2020,616595,26829,38122,217,1651,17615,201452,15353490,3.332,174438,8.1
Italy,30/10/2020,647674,31079,38321,199,1746,18740,215085,15568575,3.557,179160,7.7
Italy,31/10/2020,679430,31756,38618,297,1843,19809,215886,15784461,3.571,184620,7.4
Italy,01/11/2020,709335,29905,38826,208,1939,20841,183457,15967918,3.034,187702,7.2
Italy,02/11/2020,731588,22253,39059,233,2022,21862,135731,16103649,2.245,189280,7
Italy,03/11/2020,759829,28241,39412,353,2225,23339,182287,16285936,3.015,190407,6.8
Italy,04/11/2020,790377,30548,39764,352,2292,24408,211831,16497767,3.504,192247,6.7
Italy,05/11/2020,824879,34502,40192,428,2391,25647,219884,16717651,3.637,194880,6.5
Italy,06/11/2020,862681,37802,40638,446,2515,26520,234245,16951896,3.874,197617,6.4
